,network,id,createdAt,molochAddress,memberAddress,shares,loot
71,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xbbbfc46566e5f0302cef913af8c8f423070ce6a1-rage-11051552,1602648830,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xbbbfc46566e5f0302cef913af8c8f423070ce6a1,1,0
72,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xbbbfc46566e5f0302cef913af8c8f423070ce6a1-rage-9371085,1580221857,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xbbbfc46566e5f0302cef913af8c8f423070ce6a1,1,0
73,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xbbbfc46566e5f0302cef913af8c8f423070ce6a1-rage-9481192,1581684156,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xbbbfc46566e5f0302cef913af8c8f423070ce6a1,1,0
74,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xbbbfc46566e5f0302cef913af8c8f423070ce6a1-rage-9481198,1581684268,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xbbbfc46566e5f0302cef913af8c8f423070ce6a1,2,0
75,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xbbbfc46566e5f0302cef913af8c8f423070ce6a1-rage-9498305,1581911360,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xbbbfc46566e5f0302cef913af8c8f423070ce6a1,1,0
76,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xbbbfc46566e5f0302cef913af8c8f423070ce6a1-rage-9647069,1583887434,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xbbbfc46566e5f0302cef913af8c8f423070ce6a1,2,0
77,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xbbbfc46566e5f0302cef913af8c8f423070ce6a1-rage-9654775,1583989523,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xbbbfc46566e5f0302cef913af8c8f423070ce6a1,5,0
78,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xbbbfc46566e5f0302cef913af8c8f423070ce6a1-rage-9655985,1584006003,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xbbbfc46566e5f0302cef913af8c8f423070ce6a1,4,0
79,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xc1a69f906ce4366c0c77e0219b3132fea0969231-rage-10485340,1595100337,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xc1a69f906ce4366c0c77e0219b3132fea0969231,30,0
80,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xc7f459c7edcf9333d223bd1c346f46819403ca06-rage-10061063,1589416326,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xc7f459c7edcf9333d223bd1c346f46819403ca06,19,0
81,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xc9283bbd79b016230838e57ce19e6aca12dd2c0d-rage-10865099,1600152946,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xc9283bbd79b016230838e57ce19e6aca12dd2c0d,5,0
82,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xcd16cbda54af2556ebb6df4fbfd178e63c33fd89-rage-9776921,1585623274,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xcd16cbda54af2556ebb6df4fbfd178e63c33fd89,10,0
83,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xd3e9d60e4e4de615124d5239219f32946d10151d-rage-9438725,1581119659,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xd3e9d60e4e4de615124d5239219f32946d10151d,20,0
84,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xd3e9d60e4e4de615124d5239219f32946d10151d-rage-9840466,1586467930,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xd3e9d60e4e4de615124d5239219f32946d10151d,15,0
85,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xe04243d4de64793420e613fa13f12efff42aca05-rage-10313141,1592796013,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xe04243d4de64793420e613fa13f12efff42aca05,10,0
86,mainnet,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0xe16df3b67c0f85da576bd4080f08e8ecad2a17f2-rage-9988518,1588445799,0x0372f3696fa7dc99801f435fd6737e57818239f2,0xe16df3b67c0f85da576bd4080f08e8ecad2a17f2,20,0
