,id,isForwarder,isUpgradeable,repoName,repoAddress,organizationId,network
55,0x00ccb72bd1f72882d89774d9acccce616ed9227d,False,True,kernel,,0x00ccb72bd1f72882d89774d9acccce616ed9227d,mainnet
56,0x00cda4bc25b0e1f9fdba2e5da65cb0279d9e4686,False,True,vault,0xe73671913a7860c0fbdc3987871c1eff732916bf,0x84ba27e0fd35ef6bae860f01f6b6d83b0533bfe4,mainnet
57,0x00cef8cfe72e6e08976958821c94b0d29aabefad,False,True,acl,,0xc021ef00baf956a4a5420b05c82df7d8a4108120,mainnet
58,0x00d439660e56eeb959411e33cb251d2ee49a544c,False,True,finance,0x2dab32a4befc9cd6221796ece92e98137c13647a,0xb04f0e7d7c9c74ebe2a33197034c24c1623781d7,mainnet
59,0x00dab0f8285de627758df227ec477b8e2e426e18,False,True,vault,0xe73671913a7860c0fbdc3987871c1eff732916bf,0x1994d9a692ff34f23954dd2a15c0469cce337cc4,mainnet
60,0x00e1e22b4445afc3537c41842ed8abcaa5bf80d2,True,True,token-manager,0x5a2c9d871f5ac6f06f2045ab06995a9556e86fbc,0x1e82e1a7f5edc0bedd185995b43ce69a86fe6b16,mainnet
61,0x00e5a1c06fee8811bcf6979480eb34dd7768f6c4,False,True,acl,,0x2c873ff9382721a0531c2e06c87197cf152d52e4,mainnet
62,0x00ebe03b1b47a3f0e28b40721b02fcb2515cd2a6,False,False,evm-script-registry,,0x463ec344eb9aa510dff44080617448309828fb75,mainnet
63,0x00ed27e0e02b6e732c099c78e7613160d53c84f5,False,True,vault,0xe73671913a7860c0fbdc3987871c1eff732916bf,0x7091d8fd9221f41414666eafbfd0cf5c309b1a4c,mainnet
64,0x00f3c4cd10804450cd06269340e8742f5e8e4867,False,True,acl,,0xaa01f34aacd8b267f4717c39f62c467066d554e1,mainnet
65,0x01035fce53b849bc65cc90588db6c72c2d7c7fd8,False,True,acl,,0x324adb49b64fbcf36b018ee3c15313683b5d3ebe,mainnet
